scopeId,FAILURE_REASON,entityId,userId,createdOn,versionNumber,modifiedOn,cancelControl,submitterId,name,cancelRequested,objectId,status,canCancel,teamId,ci,spearman,team,f1,average_AUC,pearson,rmse
9614078,,syn17012769,3377549,1539884990308,1,1539885008852,"{""submissionId"":""9681691"",""userId"":""3377549"",""canCancel"":false,""cancelRequested"":false}",3379336,PlosCB baseline,false,9681691,SCORED,false,3379336,0.6306,0.3757,PlosCB baseline,0.2041,0.6676,0.4052,1.2821
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn15667962,3379393,1539996162963,1,1539996603825,"{""submissionId"":""9681709"",""userId"":""3379393"",""canCancel"":false,""cancelRequested"":false}",3379393,ANN_O1_T1,false,9681709,INVALID,false,NA,NA,NA,NA,NA,NA,NA,NA
9614078,,syn17013809,3379393,1539998153719,1,1539998407158,"{""submissionId"":""9681712"",""userId"":""3379393"",""canCancel"":false,""cancelRequested"":false}",3379393,eval_results.csv,false,9681712,SCORED,false,NA,0.5346,0.0536,An Nguyen,0.0584,0.5252,0.0474,1.5398
9614078,,syn17015156,3379393,1540345917879,1,1540346406643,"{""submissionId"":""9681729"",""userId"":""3379393"",""canCancel"":false,""cancelRequested"":false}",3379393,E9_I40_eval_results.csv,false,9681729,SCORED,false,NA,0.4828,0.0137,Andy Tran,0.2165,0.493,-0.0194,1.6139
9614078,,syn17015195,3379393,1540390760816,1,1540390806149,"{""submissionId"":""9681730"",""userId"":""3379393"",""canCancel"":false,""cancelRequested"":false}",3379393,E39_B720_eval_results.csv,false,9681730,SCORED,false,NA,0.5158,0.1345,Andy Tran,0.2917,0.5679,0.124,1.5624
9614078,,syn17015713,3378959,1540474931578,1,1540475408616,"{""submissionId"":""9681768"",""userId"":""3378959"",""canCancel"":false,""cancelRequested"":false}",3361565,N121_IDG_1025,false,9681768,SCORED,false,3361565,0.5553,0.0681,N121,0.4,0.5302,-0.0139,1.551
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn15667962,3379434,1540582428033,1,1540582802932,"{""submissionId"":""9681786"",""userId"":""3379434"",""canCancel"":false,""cancelRequested"":false}",3379434,test,false,9681786,INVALID,false,NA,NA,NA,NA,NA,NA,NA,NA
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn17016523,3379434,1540584437671,1,1540584603789,"{""submissionId"":""9681789"",""userId"":""3379434"",""canCancel"":false,""cancelRequested"":false}",3379434,test,false,9681789,INVALID,false,NA,NA,NA,NA,NA,NA,NA,NA
9614078,,syn17016556,3379434,1540584735478,1,1540585206668,"{""submissionId"":""9681790"",""userId"":""3379434"",""canCancel"":false,""cancelRequested"":false}",3379434,round_1_template.csv,false,9681790,SCORED,false,NA,0.539,0.0401,x qwer,0.0758,0.5228,0.0713,1.559
9614078,,syn17016687,3379434,1540589348785,1,1540589408897,"{""submissionId"":""9681793"",""userId"":""3379434"",""canCancel"":false,""cancelRequested"":false}",3379434,test,false,9681793,SCORED,false,NA,0.5714,0.2422,x qwer,0.2209,0.6306,0.259,1.1794
9614078,,syn17016833,3379434,1540655816695,1,1540656006810,"{""submissionId"":""9681806"",""userId"":""3379434"",""canCancel"":false,""cancelRequested"":false}",3379434,round_1_template.csv,false,9681806,SCORED,false,NA,0.5747,0.2302,x qwer,0.1928,0.6131,0.2153,1.2058
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn15667962,1967407,1540739011447,1,1540739405370,"{""submissionId"":""9681822"",""userId"":""1967407"",""canCancel"":false,""cancelRequested"":false}",3343575,MCIC,false,9681822,INVALID,false,3343575,NA,NA,NA,NA,NA,NA,NA
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn17016902,1967407,1540740035101,1,1540740603295,"{""submissionId"":""9681823"",""userId"":""1967407"",""canCancel"":false,""cancelRequested"":false}",3343575,MCIC,false,9681823,INVALID,false,3343575,NA,NA,NA,NA,NA,NA,NA
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn17016905,1967407,1540741887997,1,1540742403269,"{""submissionId"":""9681824"",""userId"":""1967407"",""canCancel"":false,""cancelRequested"":false}",3343575,MCIC,false,9681824,INVALID,false,3343575,NA,NA,NA,NA,NA,NA,NA
9614078,"Error reading in submission file: Error tokenizing data. C error: Expected 1 fields in line 183, saw 2
",syn17016906,1967407,1540744686596,1,1540744802736,"{""submissionId"":""9681825"",""userId"":""1967407"",""canCancel"":false,""cancelRequested"":false}",3343575,MCIC,false,9681825,INVALID,false,3343575,NA,NA,NA,NA,NA,NA,NA
9614078,,syn17016908,1967407,1540745551197,1,1540746006322,"{""submissionId"":""9681826"",""userId"":""1967407"",""canCancel"":false,""cancelRequested"":false}",3343575,MCIC,false,9681826,SCORED,false,3343575,0.5931,0.3529,MCIC,0.2133,0.6851,0.3458,1.1795
9614078,,syn17017207,1967407,1540829536799,1,1540830006995,"{""submissionId"":""9681836"",""userId"":""1967407"",""canCancel"":false,""cancelRequested"":false}",3343575,round_1_template.csv,false,9681836,SCORED,false,3343575,0.5808,0.3344,MCIC,0.0317,0.6608,0.2372,1.2175
9614078,,syn17018656,3379678,1540865516883,1,1540866006373,"{""submissionId"":""9681850"",""userId"":""3379678"",""canCancel"":false,""cancelRequested"":false}",3379678,average_results.csv,false,9681850,SCORED,false,NA,0.4963,-5.0E-4,KinaseX,0.0147,0.4819,-0.0183,1.5347
9614078,,syn17018665,3379678,1540879789334,1,1540879808684,"{""submissionId"":""9681854"",""userId"":""3379678"",""canCancel"":false,""cancelRequested"":false}",3379678,Ridge_All0_eval_results.csv,false,9681854,SCORED,false,NA,0.4849,-0.0632,KinaseX,0.1104,0.4781,-0.0846,1.8667
9614078,,syn17018698,3379678,1540886987334,1,1540887008878,"{""submissionId"":""9681864"",""userId"":""3379678"",""canCancel"":false,""cancelRequested"":false}",3379678,average_results_PFS3284.csv,false,9681864,SCORED,false,NA,0.4448,-0.1554,KinaseX,0.186,0.4129,-0.1047,1.9102
9614078,Submission file is missing column: pKd_[M]_pred,syn16809883,3321508,1540951903298,1,1540952402817,"{""submissionId"":""9681915"",""userId"":""3321508"",""canCancel"":false,""cancelRequested"":false}",3332429,round_1_template.csv,false,9681915,INVALID,false,3332429,NA,NA,NA,NA,NA,NA,NA
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn17020230,3321508,1540952114751,1,1540952404757,"{""submissionId"":""9681916"",""userId"":""3321508"",""canCancel"":false,""cancelRequested"":false}",3332429,zzzz,false,9681916,INVALID,false,3332429,NA,NA,NA,NA,NA,NA,NA
9614078,,syn17020231,3321508,1540953246764,1,1540953607431,"{""submissionId"":""9681917"",""userId"":""3321508"",""canCancel"":false,""cancelRequested"":false}",3332429,round_1_template_predictions.csv,false,9681917,SCORED,false,3332429,0.6829,0.5353,AI Winter is Coming,0.3205,0.7636,0.5363,1.2525
9614078,,syn17021108,3368024,1541093132160,1,1541093409716,"{""submissionId"":""9681982"",""userId"":""3368024"",""canCancel"":false,""cancelRequested"":false}",3368024,round_1_submission.csv,false,9681982,SCORED,false,NA,0.5796,0.3297,Gregory Koytiger,0.381,0.6528,0.313,1.2188
9614078,,syn17021108,3368024,1541105603267,2,1541106007028,"{""submissionId"":""9681991"",""userId"":""3368024"",""canCancel"":false,""cancelRequested"":false}",3368024,1534783153.7716007,false,9681991,SCORED,false,NA,0.6417,0.3968,Gregory Koytiger,0.2857,0.6883,0.4011,1.3309
9614078,,syn17021376,1967585,1541110341658,1,1541110807216,"{""submissionId"":""9681992"",""userId"":""1967585"",""canCancel"":false,""cancelRequested"":false}",3379017,Jack Skellington,false,9681992,SCORED,false,3379017,0.606,0.4687,Lasige_KInhibitors,0.4249,0.7539,0.4973,1.1036
9614078,,syn17021806,3366764,1541150127218,1,1541150406734,"{""submissionId"":""9682005"",""userId"":""3366764"",""canCancel"":false,""cancelRequested"":false}",3366764,first,false,9682005,SCORED,false,NA,0.5216,0.0895,Munhwan Lee,0.3309,0.5583,0.0877,1.3691
9614078,,syn17021807,3366764,1541154015903,1,1541154608605,"{""submissionId"":""9682006"",""userId"":""3366764"",""canCancel"":false,""cancelRequested"":false}",3366764,second_epoch5,false,9682006,SCORED,false,NA,0.5074,0.0376,Munhwan Lee,0.3298,0.5314,0.0064,1.378
9614078,,syn17021808,3366764,1541154927444,1,1541155207207,"{""submissionId"":""9682007"",""userId"":""3366764"",""canCancel"":false,""cancelRequested"":false}",3366764,e54,false,9682007,SCORED,false,NA,0.5577,0.1005,Munhwan Lee,0.3709,0.5603,0.0958,1.3934
9614078,,syn17022534,3321443,1541236641991,1,1541236807197,"{""submissionId"":""9682045"",""userId"":""3321443"",""canCancel"":false,""cancelRequested"":false}",3378782,syn15667962 baseline,false,9682045,SCORED,false,3378782,0.5885,0.3025,AKinase,0.1314,0.6672,0.3429,1.4137
9614078,,syn17022538,3321338,1541239539779,1,1541239809645,"{""submissionId"":""9682047"",""userId"":""3321338"",""canCancel"":false,""cancelRequested"":false}",3321338,submit1.csv,false,9682047,SCORED,false,NA,0.6093,0.2876,Shadow Burn,0.3936,0.6465,0.3105,1.1639
9614078,,syn17022542,1967585,1541247242012,1,1541247606517,"{""submissionId"":""9682049"",""userId"":""1967585"",""canCancel"":false,""cancelRequested"":false}",3379017,Sally Finkelstein,false,9682049,SCORED,false,3379017,0.6033,0.452,Lasige_KInhibitors,0.4412,0.7424,0.4752,1.1243
9614078,,syn17022634,3378928,1541358517704,1,1541358608229,"{""submissionId"":""9682086"",""userId"":""3378928"",""canCancel"":false,""cancelRequested"":false}",3378928,round_1.csv,false,9682086,SCORED,false,NA,0.435,0.0059,Chao Liu,0.0,0.4875,-8.0E-4,9.6693
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn17023208,3379229,1541452407054,1,1541452802813,"{""submissionId"":""9682245"",""userId"":""3379229"",""canCancel"":false,""cancelRequested"":false}",3379235,"1st Submission (numLearners=20, bag=F, r=0.7, baseLearner='rls_kron', lambda = 0.125)",false,9682245,INVALID,false,3379235,NA,NA,NA,NA,NA,NA,NA
9614078,,syn17023215,3379229,1541455450999,1,1541455808260,"{""submissionId"":""9682269"",""userId"":""3379229"",""canCancel"":false,""cancelRequested"":false}",3379235,"ensembler(numLearners = 20, bag = F, r = 0.7, baseLearner = 'rls_kron', lambda = 0.125)",false,9682269,SCORED,false,3379235,0.5566,0.1898,Dainanahan,0.1194,0.579,0.2012,1.1816
9614078,,syn17023358,3365527,1541473621296,1,1541473808319,"{""submissionId"":""9682320"",""userId"":""3365527"",""canCancel"":false,""cancelRequested"":false}",3365527,Baseline,false,9682320,SCORED,false,NA,0.585,0.2255,David Koes,0.3014,0.6287,0.2018,1.3187
9614078,,syn17023622,3321338,1541515661659,1,1541515809370,"{""submissionId"":""9682503"",""userId"":""3321338"",""canCancel"":false,""cancelRequested"":false}",3321338,submit2.csv,false,9682503,SCORED,false,NA,0.698,0.5523,Shadow Burn,0.4681,0.7975,0.5442,1.125
9614078,Error reading in submission file: Invalid file path or buffer object type: <type 'NoneType'>,syn17023673,3379965,1541521572819,1,1541521804043,"{""submissionId"":""9682506"",""userId"":""3379965"",""canCancel"":false,""cancelRequested"":false}",3379965,IDG-DREAM Drug-Kinase round1,false,9682506,INVALID,false,NA,NA,NA,NA,NA,NA,NA,NA
9614078,,syn17023754,3321508,1541543276346,1,1541543409264,"{""submissionId"":""9682510"",""userId"":""3321508"",""canCancel"":false,""cancelRequested"":false}",3332429,v2,false,9682510,SCORED,false,3332429,0.6612,0.4958,AI Winter is Coming,0.4246,0.7484,0.4935,1.192
9614078,,syn17023675,3379965,1541573313032,1,1541573407916,"{""submissionId"":""9682516"",""userId"":""3379965"",""canCancel"":false,""cancelRequested"":false}",3379965,round_1_template.csv,false,9682516,SCORED,false,NA,0.5471,0.2952,peng Yue,0.016,0.6338,0.2928,1.3529
