average_auc,createdOn,name,objectId,rmse,spearman,submitterId,team,userId
0.7201031225818242,1553811958402,round_2_baseline.csv,9685944,1.122717613473905,0.40059216278647436,3379336,,3377549
0.6492404151169013,1554205755202,round2_0402.csv,9685952,1.147433795254967,0.22967088172956468,3387887,,3387887
0.6708632496301264,1554261404359,prediction2(1).csv,9685954,1.2175710396846826,0.29462770843588454,3388038,,3388038
0.5292571081982914,1554279628444,2019_04_03,9685956,1.222494701731645,0.0907706109819316,3388037,,3388037
0.6468929561264186,1554286224366,sub1 for AUC sub challenge,9685960,5.181189099457355,0.2890182420930729,3334430,,3334430
0.5523101746811778,1554286402012,sub2 for rmse,9685961,1.5816485403471219,0.17859188798016554,3334430,,3334430
0.6845604046242099,1554366294170,20190404,9685962,1.0584878020367943,0.361776214394909,3388037,,3388037
0.6896598543288261,1554477147392,r2_p_m_0405.csv,9685965,1.252880589059639,0.3292074431634473,3388136,,3388136
0.4763867844770856,1554809926001,to_s.csv,9686038,1.242765685095076,-0.050900593087487685,3387887,,3387887
0.6875772898509637,1554851963321,new_pred_round2.csv,9686047,1.140023394692847,0.2908433103405505,3380543,,3380543
0.42444771147258925,1554867068520,hh_2_0409.csv,9686049,1.3567652130841779,-0.11381454799200477,3388045,,3388045
0.502500990840092,1554929823868,round_2_template.csv,9686059,1.6742156311252552,0.034901011623971,3388317,,3379408
0.4826002408899773,1554986716425,20190411.csv,9686080,1.363731184123279,-0.018904092511119568,3388135,,3388135
0.507000009114452,1554989305106,20190411_2.csv,9686081,1.2998136807094816,-0.05253550266972404,3388135,,3388135
0.5684048421491872,1554997615579,submission1_2r.csv,9686085,1.2320440216447928,0.12855657676502585,3383197,,3383197
0.5971337787401779,1555013555083,PKI Lab_1.csv,9686092,1.4068407268539813,0.16586241954202435,3380927,,3330902
0.5901297860765833,1555013716679,PKI Lab_2.csv,9686093,1.443591288583974,0.15123727993263425,3380927,,3330902
0.7019792219053111,1555065196442,final.csv,9686117,1.319133703564001,0.34519231521330823,3388136,,3388136
0.7589158175545103,1555071137411,result_2_hh_20190412.csv,9686120,1.0175357956510949,0.4749195618808992,3388045,,3388045
0.6545054353415705,1555129206909,round_2_0412_baseline.csv,9686144,1.0682302273135391,0.2738807759372995,3388038,,3388038
0.505639601004125,1555243752798,round2_d.csv,9686177,1.2196261762092953,0.03303862253269862,3380306,,3380306
0.6969131392487222,1555244550354,R2.csv.csv,9686178,1.2136086546174825,0.36877337894447554,3380306,,3380306
0.6409070360930533,1555293556362,Pred_2.csv,9686189,1.1610373123060358,0.24733490760233284,3377646,,3336728
0.7440523324455209,1555295716573,result_2_self_20190415.csv,9686191,1.0466108640980003,0.4496336053938999,3386576,,3386576
0.675485603878071,1555319219895,n_g_03_07,9686203,1.1494123035766037,0.3011890826629843,2223251,,2223251
0.5402690359405216,1555336563579,round_2_template_preds_tangip_new.csv,9686206,8.465658975432946,0.1473887993283896,3379046,,3378796
0.559110210098787,1555338685256,20180415.csv,9686207,1.219141114474235,0.11241225191153476,3388372,,3388372
0.6964089456322575,1555340239637,2019_04_15_complete_0.8524prediction.csv,9686208,1.189676707914357,0.353275819772257,3380028,,3380021
0.5457282454793554,1555353412155,predictions.csv,9686218,1.5301017552689893,0.11589209191472599,3380669,,3378631
0.6471303566702751,1555378491462,round_2_0415_baseline.csv,9686226,1.200780195718391,0.2873205245370192,3388039,,3388039
0.6994012597781922,1555389172610,average_model_fp.csv,9686228,1.3716121551588867,0.3296340902058853,3379198,,3345606
0.5729751940747884,1555410075822,20190416.csv,9686229,1.177800481111257,0.18456153548401524,3388372,,3388372
0.5410439647532954,1555415901615,round_2_template_preds_tanimoto.csv,9686230,66.35798258151222,0.14308110510943112,3379046,,3378796
0.7532326778573611,1555419561330,first_attempt,9686232,0.9697356159098623,0.5070859070337999,3385484,,3385484
0.6516194858184331,1555423818313,predictions_DTC.csv,9686233,1.1559874461363928,0.2863829758451192,3380669,,3378631
0.59526028265818,1555428886575,Round2_Submission_2.csv,9686235,1.4392012164182724,0.16830746166049124,3331369,,3331369
0.6384683711026854,1555430694221,predictions_200100100512.csv,9686237,1.1410291289693864,0.25116878385585867,3379179,,3379179
0.7146028549374851,1555442719210,round2_v1,9686240,0.9941665195329598,0.35808057983141467,3379052,,3379052
0.4557211867515523,1555461150666,round_2_template_xiaohua.csv,9686246,4.332979749867214,-0.09749132483672196,3388456,,3388456
0.46189163732926397,1555462068104,round_2_template_xiaohua2.csv,9686247,13.242050046131133,-0.07822172408691386,3388456,,3388456
0.45629454173043876,1555464270555,round_2_template_xiaohua3.csv,9686248,5.4508438139630355,-0.09550828476365798,3388499,,3388499
0.7701316487888773,1555466841281,round2_0417(1).csv,9686249,0.9654720051522866,0.4898096145257188,3388039,,3388039
0.5065818483806482,1555467003884,epoch852,9686250,1.3348815771598643,0.05896772305488238,3380714,,3380714
0.612041663124418,1555469451223,0417.csv,9686251,1.3316486258745872,0.20298559113367978,3388371,,3388371
0.48630873020902793,1555473561058,round_2_template_xiaohua5.csv,9686255,1.825363658312043,-0.025603746326457278,3388499,,3388499
0.5041091267101646,1555488322295,round_2_template -87.csv,9686256,1.6188662289256688,0.026686970355434412,3340411,,3340411
0.6845343928890155,1555490798339,submission2_2r.csv,9686257,1.1963518660905643,0.2955303344056983,3383197,,3383197
0.5172487094150349,1555491752976,round_2_template -rnn.csv,9686258,1.646963409273599,1.7248547860178142E-4,3340411,,3340411
0.7419993958945071,1555492261526,round2_trial_1.csv,9686259,1.0242247164758451,0.41934951932289477,3384808,,3384808
