auc,bayes,ci,createdOn,f1,met_cutoff,name,objectId,pearson,rmse,spearman,submitterId,team,userId
0.675293599712373,,0.646217046116803,1548110054192,0.18302663239737,true,PlosCB_baseline.csv,9684459,0.417491667041811,1.26500291211665,0.378209909284392,3342573,,3342573
0.697569192167322,,0.637983111016222,1548113973128,0.369796634379906,true,prediction_round1_v3.csv,9684462,0.412113613466455,1.12555883805587,0.379904879334193,3379052,,3379052
,,,1548127682736,,,Tsai_Min_NN,9684464,,,,3361565,,3364965
,,,1548128772141,,,Tsai_Min_NN,9684465,,,,3361565,,3364965
0.484754595608903,,0.500155116420356,1548138692256,0.0221493360561884,true,Submission 1 (01-22-2019),9684466,-0.0325504731843093,1.91389345194337,-0.00422385844851164,3383831,,3379227
,,,1548142479106,,,round1b_k-sep-bigrams_v1.csv,9684467,,,,3371544,,3379820
0.684901993887859,,0.623997520987473,1548142987129,0.365552906537234,true,Tsai-Min NN,9684468,0.347482958011523,1.16063171161092,0.287986758531004,3361565,,3364965
0.554558117857898,,0.554884786542706,1548156088087,0.212325492073407,true,zo15140174183025,9684469,0.116603153746506,1.44568070591681,0.129672994517793,3379179,,3379179
,,,1548160571610,,,round1_final_results_20190122,9684470,,,,3383440,,3383440
,,,1548161597900,,,20190122,9684471,,,,3383422,,3383422
,,,1548161798484,,,20190122,9684472,,,,3383422,,3383422
,,,1548161936968,,,IDG-DREAM Drug-Kinase Binding Prediction Challenge,9684473,,,,3383422,,3383422
0.656191517351792,,0.628109837978803,1548181940460,0.106380516609498,true,round1b_k-sep-bigrams_v1 (1).csv,9684480,0.287528019492274,1.15925917566708,0.326301729920549,3371544,,3346376
0.593509741318159,,0.564793317025814,1548198004289,0.179199073633138,true,whole_SSlayers_151_40_MTlayers_17_41_mtasks_83_dropouts_0.25.csv,9684488,0.200627618424609,1.3788343034281,0.200563236026697,3379179,,3379179
0.780454350060994,,0.711429017222547,1548210280401,0.40172647039763,true,round_1_template_predictions_v3_cv5.csv,9684489,0.54461778205793,1.02573286242968,0.556422086843339,3332429,,3321508
0.580121418204807,,0.543485661562172,1548212036621,0.211838643538065,true,syn18078172_20190123,9684490,0.140291509898908,1.25530186930094,0.114441012784735,3383440,,3383440
,,,1548223380976,,,ROUND1B,9684491,,,,3379043,,3379043
,,,1548228461847,,,round1b_k-sep-bigrams_v1_rep.csv,9684492,,,,3371544,,3346376
,,,1548234249658,,,ZDX,9684493,,,,3384817,,3384817
,,,1548246803448,,,results,9684496,,,,3384808,,3384808
0.653606644275147,,0.590693509153998,1548247255816,0.360346624563574,true,baseline,9684497,0.272537904804565,1.18423109725388,0.252798467614185,3383422,,3383422
0.607322407139691,,0.578901549848386,1548248180467,0.210473696094334,true,results1,9684498,0.195259317330827,1.19269502632644,0.197337128103982,3384808,,3384808
0.542012518316406,,0.540322404612291,1548267118297,0.066638825763238,true,kiba_num_windows_509,9684503,0.108341110055374,1.52485712888071,0.126428558806153,3337435,,3350406
0.657182398136236,,0.625343901648242,1548277847911,0.121937241277602,false,round1b_k-sep-bigrams_v1_rep.csv,9684509,0.27208977662686,1.13526993716843,0.351885710784443,3371544,,3346376
0.474624681378467,,0.499934181832538,1548294898334,0.0105036181436305,false,Submission 2 (01-23-2019),9684510,-0.0201138369184545,1.88657168676286,-0.00283604176311992,3383831,,3379227
0.679044084137216,,0.608709274616453,1548306114305,0.481033016693787,false,round_1_template.csv,9684511,0.337689356124478,1.15537541205117,0.292692941804014,3361565,,3378959
,,,1548329412101,,,2nd_attempt,9684523,,,,3384808,,3384808
0.612801870564856,,0.574350050459225,1548329865083,0.271013372119908,false,second_attempt,9684524,0.186119123287908,1.20144834308789,0.209637228424708,3384808,,3384808
0.537278808940146,,0.546658005649321,1548336543781,0.061609412287045,false,kiba_multitask_12.20.18-01.47.44.csv,9684525,0.136136721042709,1.47209894119584,0.122037744563829,3337435,,3350406
,,,1548336551830,,,baseline_1,9684526,,,,3383422,,3383422
,,,1548337359303,,,baseline_1,9684527,,,,3383422,,3383422
,,,1548341874297,,,baseline_1,9684533,,,,3383422,,3383422
0.645010110087566,,0.596617660125014,1548342792484,0.395130408758931,false,round1_final_results_3_2.csv,9684535,0.281545896657048,1.20011005698752,0.279156391459764,3383422,,3383422
0.614615831448539,,0.578804386985276,1548388534277,0.363130359004967,true,result_4_20190125,9684547,0.245341816299773,1.19833608980266,0.167332354537895,3383440,,3383440
0.677968221285533,,0.602083114259286,1548402604875,0.48812054134622,false,round_1b_n121_0125.csv,9684548,0.349646402919303,1.16941466440124,0.293062382464307,3361565,,3378959
0.609963417679586,,0.599311922459569,1548403249610,0.193717897250678,true,round_1_template_1.csv,9684550,0.208243882526701,1.24326619160776,0.234952178532782,3379008,,3379008
0.605978867100699,,0.562007623163851,1548407254845,0.310451008745031,false,blah,9684551,0.220880724684413,1.19940649403289,0.228706214124537,3384808,,3384808
0.630446166800972,,0.593496266637132,1548414292716,0.0,true,SVR_C1_1000ftrs.csv,9684555,0.236636562011116,1.68837788505614,0.243115062674203,3380939,,3331315
,,,1548415187802,,,idg_kinase_simple_pinn_1,9684556,,,,3371544,,3350684
,,,1548415558693,,,idg_kinase_simple_pinn_1,9684557,,,,3371544,,3350684
0.649158667426476,,0.605009776464101,1548424327889,0.446028307508983,false,baseline_2,9684559,0.285961651520881,1.20095817157466,0.25991299111705,3383422,,3383422
0.648084265644358,,0.628054557176618,1548426676063,0.102412108288873,false,idg_kinase_simple_pinn_1,9684560,0.317831376097538,1.16007019637079,0.322025929741435,3371544,,3350684
